#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2013-09-20 18:45:02
#Fields: date time s-sitename cs-method cs-uri-stem cs-uri-query cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2013-09-20 18:45:02 W3SVC628 GET /style/common.css - - 66.249.74.167 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - - bcause.in 200 0 0 5094 239 795
2013-09-20 18:45:02 W3SVC628 GET /style/index.css - - 66.249.74.167 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - - bcause.in 200 0 0 8734 238 624
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2013-09-21 03:58:34
#Fields: date time s-sitename cs-method cs-uri-stem cs-uri-query cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2013-09-21 03:58:34 W3SVC628 GET /whatwedo.html - - 59.177.131.62 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+7_0+like+Mac+OS+X)+AppleWebKit/537.51.1+(KHTML,+like+Gecko)+Version/7.0+Mobile/11A465+Safari/9537.53 - - bcause.in 304 0 0 211 436 468
2013-09-21 03:58:37 W3SVC628 GET /style/reset.css - - 59.177.131.62 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+7_0+like+Mac+OS+X)+AppleWebKit/537.51.1+(KHTML,+like+Gecko)+Version/7.0+Mobile/11A465+Safari/9537.53 - http://bcause.in/whatwedo.html bcause.in 304 0 0 211 434 109
2013-09-21 03:58:37 W3SVC628 GET /style/common.css - - 59.177.131.62 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+7_0+like+Mac+OS+X)+AppleWebKit/537.51.1+(KHTML,+like+Gecko)+Version/7.0+Mobile/11A465+Safari/9537.53 - http://bcause.in/whatwedo.html bcause.in 304 0 0 211 435 93
2013-09-21 03:58:37 W3SVC628 GET /style/wwd.css - - 59.177.131.62 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+7_0+like+Mac+OS+X)+AppleWebKit/537.51.1+(KHTML,+like+Gecko)+Version/7.0+Mobile/11A465+Safari/9537.53 - http://bcause.in/whatwedo.html bcause.in 304 0 0 211 432 78
2013-09-21 03:58:37 W3SVC628 GET /js/common.js - - 59.177.131.62 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+7_0+like+Mac+OS+X)+AppleWebKit/537.51.1+(KHTML,+like+Gecko)+Version/7.0+Mobile/11A465+Safari/9537.53 - http://bcause.in/whatwedo.html bcause.in 304 0 0 211 416 78
2013-09-21 03:58:37 W3SVC628 GET /js/modernizr.js - - 59.177.131.62 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+7_0+like+Mac+OS+X)+AppleWebKit/537.51.1+(KHTML,+like+Gecko)+Version/7.0+Mobile/11A465+Safari/9537.53 - http://bcause.in/whatwedo.html bcause.in 304 0 0 211 419 109
2013-09-21 03:58:37 W3SVC628 GET /js/jquery.slimscroll.min.js - - 59.177.131.62 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+7_0+like+Mac+OS+X)+AppleWebKit/537.51.1+(KHTML,+like+Gecko)+Version/7.0+Mobile/11A465+Safari/9537.53 - http://bcause.in/whatwedo.html bcause.in 304 0 0 211 431 109
2013-09-21 03:58:37 W3SVC628 GET /js/wwd.js - - 59.177.131.62 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+7_0+like+Mac+OS+X)+AppleWebKit/537.51.1+(KHTML,+like+Gecko)+Version/7.0+Mobile/11A465+Safari/9537.53 - http://bcause.in/whatwedo.html bcause.in 304 0 0 211 413 109
2013-09-21 03:58:37 W3SVC628 GET /js/jquery.js - - 59.177.131.62 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+7_0+like+Mac+OS+X)+AppleWebKit/537.51.1+(KHTML,+like+Gecko)+Version/7.0+Mobile/11A465+Safari/9537.53 - http://bcause.in/whatwedo.html bcause.in 304 0 0 209 414 202
2013-09-21 03:58:37 W3SVC628 GET /images/logo.png - - 59.177.131.62 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+7_0+like+Mac+OS+X)+AppleWebKit/537.51.1+(KHTML,+like+Gecko)+Version/7.0+Mobile/11A465+Safari/9537.53 - http://bcause.in/whatwedo.html bcause.in 304 0 0 211 419 109
2013-09-21 03:58:38 W3SVC628 GET /images/BGtile.png - - 59.177.131.62 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+7_0+like+Mac+OS+X)+AppleWebKit/537.51.1+(KHTML,+like+Gecko)+Version/7.0+Mobile/11A465+Safari/9537.53 - http://bcause.in/whatwedo.html bcause.in 304 0 0 211 421 78
2013-09-21 03:58:38 W3SVC628 GET /images/header.png - - 59.177.131.62 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+7_0+like+Mac+OS+X)+AppleWebKit/537.51.1+(KHTML,+like+Gecko)+Version/7.0+Mobile/11A465+Safari/9537.53 - http://bcause.in/whatwedo.html bcause.in 304 0 0 211 421 78
